season,games,share_3pt,share_2pt,fg3_pct,fg2_pct,ts_pct,avg_3pa_per_team,season_type
2006,89,0.22278701619345,0.77721298380655,0.34908735332464147,0.49061010931514526,0.5468698947918709,17.235955056179776,Playoffs
2007,79,0.2364334749918274,0.7635665250081726,0.34980988593155893,0.47072674729744196,0.5299716968775446,18.310126582278478,Playoffs
2008,86,0.22592481653437171,0.7740751834656283,0.3496851176665562,0.47189706878204507,0.5320488069584093,17.540697674418606,Playoffs
2009,85,0.24925816023738873,0.7507418397626113,0.35653235653235654,0.4828215262997872,0.5437256671598298,19.27058823529412,Playoffs
2010,82,0.24439567330302556,0.7556043266969744,0.34926234765875563,0.48641078838174273,0.5433689349683447,19.01219512195122,Playoffs
2011,81,0.231401004704569,0.768598995295431,0.34079944865609924,0.468202095653076,0.5294851364542749,17.91358024691358,Playoffs
2012,84,0.2253021148036254,0.7746978851963746,0.33322158900435805,0.4686555523057424,0.5200966603863214,17.75595238095238,Playoffs
2013,85,0.259484291641968,0.740515708358032,0.34408909194745857,0.4750850510306184,0.528986360129206,20.6,Playoffs
2014,89,0.279373551513449,0.720626448486551,0.3584715937657114,0.49176493519150183,0.5478621041070952,22.348314606741575,Playoffs
2015,81,0.30222709017889743,0.6977729098211026,0.3440444551824112,0.475094181665969,0.526232473993668,25.549382716049386,Playoffs
2016,86,0.3100384749912557,0.6899615250087443,0.35446750902527074,0.4780492750684376,0.5339780462561204,25.76744186046512,Playoffs
2017,79,0.3477570164157652,0.6522429835842348,0.36110506852294977,0.5133379726281605,0.563170561187448,29.094936708860764,Playoffs
2018,82,0.35509554140127386,0.6449044585987261,0.35120260905014267,0.5130190796857463,0.5548206461041738,29.914634146341466,Playoffs
2019,82,0.3787783154498913,0.6212216845501087,0.3447509720422144,0.5023707383156468,0.5505126440564706,32.93292682926829,Playoffs
2020,83,0.42723470617423975,0.5727652938257602,0.3600464576074332,0.5293316831683168,0.5736963368225544,36.30722891566265,Playoffs
2021,85,0.39476000270800893,0.6052399972919911,0.3639169953695764,0.526510067114094,0.5705478768585249,34.3,Playoffs
2022,87,0.4129435179466063,0.5870564820533938,0.3548279873691208,0.5265372924947394,0.5673856332656823,34.58045977011494,Playoffs
2023,84,0.3932154801720019,0.6067845198279981,0.3511543134872418,0.5317210348706412,0.5664783636095112,34.29166666666667,Playoffs
2024,82,0.39566473988439305,0.6043352601156069,0.3509861212563915,0.5352702056432329,0.5657395866811948,33.390243902439025,Playoffs
2025,84,0.4108645753634277,0.5891354246365723,0.3538175046554935,0.5257378984651712,0.5662606100269709,35.160714285714285,Playoffs
