year_month,category,region,n_series,avg_index,avg_pct_change
2015-01-01,processed_food,National,4,99.15895757034826,-0.8410424296517365
2015-01-01,whole_food,National,3,100.19371862843282,0.1937186284328273
2015-02-01,processed_food,National,4,100.0062385741585,0.006238574158510694
2015-02-01,whole_food,National,3,100.04865368489875,0.04865368489875484
2015-03-01,processed_food,National,4,99.9670993305152,-0.032900669484808576
2015-03-01,whole_food,National,3,99.6069260102702,-0.3930739897298114
2015-04-01,processed_food,National,4,99.15048218016673,-0.8495178198332625
2015-04-01,whole_food,National,3,99.35658565492467,-0.6434143450753241
2015-05-01,processed_food,National,4,99.9622792797594,-0.03772072024060934
2015-05-01,whole_food,National,3,99.3480399779502,-0.651960022049807
2015-06-01,processed_food,National,4,99.8056384690285,-0.1943615309715011
2015-06-01,whole_food,National,3,99.75194292421612,-0.24805707578387953
2015-07-01,processed_food,National,4,100.07316990637831,0.0731699063783024
2015-07-01,whole_food,National,3,99.84478932977866,-0.15521067022133284
2015-08-01,processed_food,National,4,100.27789851727437,0.2778985172743611
2015-08-01,whole_food,National,3,100.30047620837982,0.30047620837981764
2015-09-01,processed_food,National,4,100.62946354016461,0.6294635401646064
2015-09-01,whole_food,National,3,100.41430388405271,0.4143038840527103
2015-10-01,processed_food,National,4,100.54321517352547,0.5432151735254711
2015-10-01,whole_food,National,3,100.56510448259215,0.5651044825921475
2015-11-01,processed_food,National,4,100.3200447989941,0.3200447989940987
2015-11-01,whole_food,National,3,100.4533129369709,0.45331293697090536
2015-12-01,processed_food,National,4,100.10551265968655,0.10551265968654744
2015-12-01,whole_food,National,3,100.11614627753303,0.11614627753302598
2016-01-01,processed_food,National,4,99.95255237589889,-0.04744762410111532
2016-01-01,whole_food,National,3,100.0834669493199,0.08346694931988896
2016-02-01,processed_food,National,4,99.98243311714556,-0.017566882854441915
2016-02-01,whole_food,National,3,100.32825697827344,0.32825697827344885
2016-03-01,processed_food,National,4,100.21389958189464,0.21389958189463348
2016-03-01,whole_food,National,3,99.3207475374237,-0.6792524625763006
2016-04-01,processed_food,National,4,100.41057715435335,0.4105771543533432
2016-04-01,whole_food,National,3,99.09403709014038,-0.9059629098596276
2016-05-01,processed_food,National,4,100.11813366208952,0.11813366208951914
2016-05-01,whole_food,National,3,98.57825648190281,-1.4217435180971842
2016-06-01,processed_food,National,4,100.18426560327431,0.18426560327430758
2016-06-01,whole_food,National,3,98.33953464802069,-1.6604653519793078
2016-07-01,processed_food,National,4,100.14958505619761,0.14958505619760779
2016-07-01,whole_food,National,3,98.11397290336699,-1.8860270966330128
2016-08-01,processed_food,National,4,100.21028304477153,0.21028304477153184
2016-08-01,whole_food,National,3,97.92186715060168,-2.078132849398309
2016-09-01,processed_food,National,4,100.403353570995,0.40335357099498653
2016-09-01,whole_food,National,3,97.85563712543882,-2.144362874561184
2016-10-01,processed_food,National,4,99.96332404696842,-0.03667595303157713
2016-10-01,whole_food,National,3,97.76182266527991,-2.238177334720097
2016-11-01,processed_food,National,4,99.70371709773339,-0.2962829022666124
2016-11-01,whole_food,National,3,97.75606081736142,-2.2439391826385795
2016-12-01,processed_food,National,4,99.91365448952551,-0.0863455104744892
2016-12-01,whole_food,National,3,97.36941260758393,-2.6305873924160794
2017-01-01,processed_food,National,4,100.17541521191022,0.17541521191022597
2017-01-01,whole_food,National,3,97.08356828817291,-2.9164317118270766
2017-02-01,processed_food,National,4,99.56827122685064,-0.43172877314935304
2017-02-01,whole_food,National,3,97.3875827968939,-2.6124172031061055
2017-03-01,processed_food,National,4,100.03628887726532,0.036288877265324454
2017-03-01,whole_food,National,3,97.82556551116886,-2.1744344888311504
2017-04-01,processed_food,National,4,99.97070963386518,-0.029290366134810952
2017-04-01,whole_food,National,3,98.09466077170892,-1.9053392282910884
2017-05-01,processed_food,National,4,99.84519962574308,-0.15480037425691584
2017-05-01,whole_food,National,3,98.09783424263152,-1.9021657573684825
2017-06-01,processed_food,National,4,100.02278874390339,0.0227887439033804
2017-06-01,whole_food,National,3,98.11084340265435,-1.8891565973456452
2017-07-01,processed_food,National,4,100.36477885000185,0.36477885000186255
2017-07-01,whole_food,National,3,98.22675153486877,-1.7732484651312301
2017-08-01,processed_food,National,4,100.33590534506857,0.33590534506857245
2017-08-01,whole_food,National,3,98.31624564066627,-1.6837543593337356
2017-09-01,processed_food,National,4,100.29761920836165,0.2976192083616558
2017-09-01,whole_food,National,3,98.31895768985898,-1.6810423101410161
2017-10-01,processed_food,National,4,100.11249637653538,0.11249637653537951
2017-10-01,whole_food,National,3,98.46903555118806,-1.530964448811945
2017-11-01,processed_food,National,4,100.43552901523533,0.4355290152353366
2017-11-01,whole_food,National,3,98.29814501795764,-1.7018549820423639
2017-12-01,processed_food,National,4,100.57683399289627,0.5768339928962727
2017-12-01,whole_food,National,3,98.60867129200997,-1.3913287079900243
2018-01-01,processed_food,National,4,101.00097173538153,1.0009717353815277
2018-01-01,whole_food,National,3,98.92531289923433,-1.0746871007656762
2018-02-01,processed_food,National,4,100.89576637745606,0.8957663774560601
2018-02-01,whole_food,National,3,98.55578379965915,-1.4442162003408403
2018-03-01,processed_food,National,4,100.92896863979023,0.9289686397902308
2018-03-01,whole_food,National,3,98.53919663955978,-1.4608033604402373
2018-04-01,processed_food,National,4,100.41451115526324,0.41451115526324034
2018-04-01,whole_food,National,3,98.81182590446484,-1.1881740955351578
2018-05-01,processed_food,National,4,100.51609238375909,0.5160923837590918
2018-05-01,whole_food,National,3,98.41531821530808,-1.5846817846919183
2018-06-01,processed_food,National,4,100.62997255402058,0.6299725540205912
2018-06-01,whole_food,National,3,98.57151982643252,-1.428480173567474
2018-07-01,processed_food,National,4,100.18225678332995,0.1822567833299428
2018-07-01,whole_food,National,3,98.9214121894003,-1.078587810599703
2018-08-01,processed_food,National,4,100.18269587951391,0.18269587951391683
2018-08-01,whole_food,National,3,99.05023377084464,-0.9497662291553619
2018-09-01,processed_food,National,4,101.03665107684316,1.036651076843157
2018-09-01,whole_food,National,3,98.97806265062307,-1.0219373493769308
2018-10-01,processed_food,National,4,100.92907807088737,0.929078070887373
2018-10-01,whole_food,National,3,98.60823024270334,-1.3917697572966499
2018-11-01,processed_food,National,4,101.46937833455476,1.4693783345547597
2018-11-01,whole_food,National,3,98.94733825743569,-1.0526617425643212
2018-12-01,processed_food,National,4,101.34926073986541,1.349260739865414
2018-12-01,whole_food,National,3,99.67315445547932,-0.32684554452069214
2019-01-01,processed_food,National,4,101.87564895096199,1.8756489509619843
2019-01-01,whole_food,National,3,99.806931502708,-0.19306849729200457
2019-02-01,processed_food,National,4,102.1026626178143,2.102662617814292
2019-02-01,whole_food,National,3,100.0318793881973,0.03187938819729548
