year_month,year,series_base,index_2015_National,index_2015_DC,pct_change_2015_National,pct_change_2015_DC,dc_vs_national_diff,dc_premium_pct
2015-01-01,2015,food_overall,100.12504295664158,100.24619288677476,0.1250429566415734,0.24619288677476875,0.12114993013318553,0.12099862986890166
2015-02-01,2015,food_overall,100.14361880164473,100.09984219934798,0.14361880164472923,0.09984219934798684,-0.04377660229675939,-0.043713821030841774
2015-03-01,2015,food_overall,99.74527012546608,99.65139146906776,-0.25472987453391815,-0.348608530932238,-0.09387865639831716,-0.09411840409097143
2015-04-01,2015,food_overall,99.52772634065141,99.7538817058284,-0.47227365934858395,-0.24611829417159253,0.22615536517699297,0.22722850555526192
2015-05-01,2015,food_overall,99.52813913720703,99.5032505591648,-0.4718608627929564,-0.49674944083519695,-0.024888578042236986,-0.025006574279386663
2015-06-01,2015,food_overall,99.86456833004186,99.67153147192465,-0.13543166995814238,-0.3284685280753469,-0.19303685811721039,-0.19329864570108984
2015-07-01,2015,food_overall,99.99996560028703,99.76909859687584,-3.439971296407075e-5,-0.23090140312416316,-0.23086700341119126,-0.2308670828288051
2015-08-01,2015,food_overall,100.25342268544112,100.21620666029895,0.25342268544111923,0.21620666029895422,-0.037216025142171816,-0.037121949700353075
2015-09-01,2015,food_overall,100.39129673502005,100.46325736201022,0.3912967350200508,0.4632573620102171,0.07196062699017602,0.071680144923433
2015-10-01,2015,food_overall,100.42679723880383,100.61945427305592,0.4267972388038408,0.6194542730559224,0.19265703425209324,0.1918382737965606
2015-11-01,2015,food_overall,100.14692117408973,100.17861198829941,0.14692117408972588,0.17861198829941227,0.03169081420968212,0.03164432200026659
2015-12-01,2015,food_overall,99.84723087470559,99.82728082735133,-0.1527691252944157,-0.17271917264867312,-0.019950047354257094,-0.019980571498564276
2016-01-01,2016,food_overall,99.71431038379416,100.23097599572735,-0.2856896162058407,0.23097599572733932,0.5166656119331918,0.5181459009690567
2016-02-01,2016,food_overall,99.78985215347365,100.01167374239668,-0.21014784652635815,0.011673742396682276,0.22182158892303505,0.22228872388935944
2016-03-01,2016,food_overall,99.24207112415854,99.11790517116953,-0.7579288758414605,-0.8820948288304828,-0.12416595298901711,-0.12511422986495022
2016-04-01,2016,food_overall,99.21193697559788,99.49071900183164,-0.7880630244021164,-0.5092809981683734,0.27878202623375614,0.2809964553986334
2016-05-01,2016,food_overall,98.80202999586173,98.83415490869679,-1.1979700041382755,-1.1658450913032117,0.032124912835058694,0.03251442590441131
2016-06-01,2016,food_overall,98.56054401082078,98.70436377917457,-1.4394559891792196,-1.2956362208254313,0.14381976835379362,0.14592022578325453
2016-07-01,2016,food_overall,98.40244293001619,98.49311752698668,-1.5975570699838053,-1.5068824730133294,0.09067459697048719,0.09214669297892833
2016-08-01,2016,food_overall,98.3004821807767,98.3351303934648,-1.6995178192233076,-1.6648696065351993,0.034648212688097146,0.035247245913177044
2016-09-01,2016,food_overall,98.19604465220343,98.35840328565499,-1.8039553477965753,-1.6415967143450105,0.16235863345156076,0.16534131698136334
2016-10-01,2016,food_overall,98.12752042396959,98.42195618355896,-1.8724795760304134,-1.5780438164410275,0.2944357595893763,0.3000542134533082
2016-11-01,2016,food_overall,98.01358857461693,98.01199523651637,-1.9864114253830667,-1.9880047634836344,-0.0015933381005623914,-0.001625629796576009
2016-12-01,2016,food_overall,97.8934647769299,97.73316808585311,-2.106535223070098,-2.2668319141468887,-0.16029669107679467,-0.16374605949647728
2017-01-01,2017,food_overall,97.862505035258,98.1525277008956,-2.1374949647420083,-1.8474722991044028,0.2900226656376077,0.2963572877407114
2017-02-01,2017,food_overall,98.1729280450884,98.33647306032192,-1.8270719549115986,-1.663526939678079,0.16354501523352383,0.16658871084950388
2017-03-01,2017,food_overall,98.40533250590558,98.54727175689078,-1.5946674940944243,-1.4527282431092252,0.1419392509852031,0.14423938964556107
2017-04-01,2017,food_overall,98.48004868247381,98.74553889612645,-1.519951317526197,-1.2544611038735478,0.26549021365264025,0.2695878172325566
2017-05-01,2017,food_overall,98.6142075630521,98.93440736736224,-1.3857924369479013,-1.0655926326377623,0.3201998043101355,0.3246994649380574
2017-06-01,2017,food_overall,98.44950173735751,98.7249513376505,-1.550498262642492,-1.2750486623494959,0.27544960029298693,0.2797877037791703
2017-07-01,2017,food_overall,98.61874832516398,98.94291092412404,-1.381251674836022,-1.057089075875959,0.32416259896005784,0.32870281205682583
2017-08-01,2017,food_overall,98.57746866960143,98.92769403307659,-1.4225313303985736,-1.0723059669234012,0.3502253634751611,0.3552793231575046
2017-09-01,2017,food_overall,98.59728290427145,99.08075805478902,-1.402717095728547,-0.9192419452109805,0.4834751505175632,0.4903534217945655
2017-10-01,2017,food_overall,98.66663272561654,98.93530247860032,-1.3333672743834537,-1.0646975213996865,0.26866975298378293,0.2723005189919986
2017-11-01,2017,food_overall,98.6336090011665,98.51280997422454,-1.366390998833502,-1.4871900257754698,-0.12079902694196676,-0.12247247988313811
2017-12-01,2017,food_overall,98.81152431664111,98.81132957212564,-1.1884756833588896,-1.1886704278743558,-1.9474451546841465e-4,-1.970868446926865e-4
2018-01-01,2018,food_overall,99.01090505300824,98.97200203936178,-0.9890949469917522,-1.0279979606382204,-0.038903013646461204,-0.03929164532496031
2018-02-01,2018,food_overall,98.73556975040601,98.8990504734579,-1.2644302495939879,-1.1009495265420954,0.1634807230518902,0.16557429451731903
2018-03-01,2018,food_overall,98.71988348129224,98.98005804050453,-1.280116518707763,-1.0199419594954613,0.26017455921228816,0.2635482843348292
2018-04-01,2018,food_overall,98.88169973109746,99.47281677706994,-1.1183002689025527,-0.5271832229300558,0.5911170459724815,0.5978022703695294
2018-05-01,2018,food_overall,98.61049239405146,99.02123315745641,-1.3895076059485372,-0.9787668425435906,0.41074076340494514,0.4165284580099333
2018-06-01,2018,food_overall,98.67819102917406,98.92858914431469,-1.321808970825942,-1.0714108556853126,0.2503981151406265,0.25375223494581156
2018-07-01,2018,food_overall,98.89160684843246,99.24814385631078,-1.1083931515675396,-0.7518561436892188,0.3565370078783161,0.3605331324272719
2018-08-01,2018,food_overall,98.98655005622633,99.43477454945136,-1.0134499437736695,-0.565225450548642,0.4482244932250268,0.45281353170751615
2018-09-01,2018,food_overall,99.05755106379394,99.4808727782127,-0.9424489362060662,-0.5191272217872969,0.423321714418762,0.4273492630018069
2018-10-01,2018,food_overall,98.88871727254308,99.03555493726577,-1.1112827274569204,-0.9644450627342369,0.1468376647226961,0.14848778381663394
2018-11-01,2018,food_overall,99.16487816825656,98.8565326896489,-0.8351218317434297,-1.143467310351099,-0.3083454786076629,-0.31094222501285407
2018-12-01,2018,food_overall,99.5405230338758,99.3470536481191,-0.45947696612418976,-0.6529463518809022,-0.1934693857566998,-0.194362436382676
2019-01-01,2019,food_overall,99.72380470457355,99.90873595001699,-0.2761952954264549,-0.0912640499830074,0.18493124544343686,0.1854434314768533
2019-02-01,2019,food_overall,99.94258687905509,100.11953464658585,-0.057413120944918246,0.1195346465858464,0.1769477675307627,0.17704941712674993
2019-03-01,2019,food_overall,100.09573440119217,100.33704667744033,0.09573440119216091,0.3370466774403263,0.2413122762481521,0.24108147833847954
2019-04-01,2019,food_overall,99.5743723514371,99.72926614678109,-0.42562764856289814,-0.2707338532189138,0.1548937953439804,0.15555588419608543
2019-05-01,2019,food_overall,99.7489852944667,100.1508635399188,-0.25101470553329397,0.15086353991879375,0.40187824545209594,0.40288955748844996
2019-06-01,2019,food_overall,99.57230836865898,99.98168751592087,-0.4276916313410239,-0.01831248407913224,0.4093791472618875,0.41113754814861975
