season,team,team_id,playoff_games,playoff_wins,playoff_losses,playoff_win_pct,total_fga,total_fg3a,share_3pt,share_2pt,fg_pct,fg3_pct,fg2_pct,ts_pct,avg_3pa,avg_pts
2006,Chicago Bulls,1610612741,6,2,4,0.3333333333333333,458,119,0.259825327510917,0.740174672489083,0.44541484716157204,0.3949579831932773,0.4631268436578171,0.5482456140350876,19.833333333333332,98.33333333333333
2006,Cleveland Cavaliers,1610612739,13,7,6,0.5384615384615384,999,172,0.17217217217217218,0.8278278278278278,0.43743743743743746,0.31976744186046513,0.4619105199516324,0.5150436581688117,13.23076923076923,90.38461538461539
2006,Dallas Mavericks,1610612742,23,14,9,0.6086956521739131,1842,347,0.18838219326818675,0.8116178067318133,0.4511400651465798,0.3170028818443804,0.4822742474916388,0.5395615768181391,15.086956521739129,99.73913043478261
2006,Denver Nuggets,1610612743,5,1,4,0.2,429,68,0.1585081585081585,0.8414918414918415,0.37995337995337997,0.22058823529411764,0.4099722991689751,0.44859160712819246,13.6,87.4
2006,Detroit Pistons,1610612765,18,10,8,0.5555555555555556,1338,333,0.24887892376681614,0.7511210762331838,0.4319880418535127,0.37237237237237236,0.45174129353233833,0.5278851321952344,18.5,91.66666666666667
2006,Indiana Pacers,1610612754,6,2,4,0.3333333333333333,422,117,0.2772511848341232,0.7227488151658767,0.4431279620853081,0.3418803418803419,0.4819672131147541,0.5428177914607469,19.5,89.33333333333333
2006,Los Angeles Clippers,1610612746,12,7,5,0.5833333333333334,969,143,0.1475748194014448,0.8524251805985552,0.49122807017543857,0.3776223776223776,0.5108958837772397,0.571047701397896,11.916666666666666,105.66666666666667
2006,Los Angeles Lakers,1610612747,7,3,4,0.42857142857142855,582,150,0.25773195876288657,0.7422680412371134,0.4536082474226804,0.3333333333333333,0.49537037037037035,0.5377329666972197,21.428571428571427,100.57142857142857
2006,Memphis Grizzlies,1610612763,4,0,4,0,266,48,0.18045112781954886,0.8195488721804511,0.45112781954887216,0.3125,0.481651376146789,0.5337007474977828,12,84.25
2006,Miami Heat,1610612748,23,16,7,0.6956521739130435,1666,439,0.2635054021608643,0.7364945978391356,0.4807923169267707,0.3325740318906606,0.5338223308883455,0.5594186493096968,19.08695652173913,96.26086956521739
2006,Milwaukee Bucks,1610612749,5,1,4,0.2,401,62,0.1546134663341646,0.8453865336658354,0.4713216957605985,0.41935483870967744,0.4808259587020649,0.5445456168541332,12.4,97.6
2006,New Jersey Nets,1610612751,11,5,6,0.45454545454545453,834,192,0.2302158273381295,0.7697841726618705,0.4520383693045564,0.3072916666666667,0.4953271028037383,0.5379470776388484,17.454545454545453,94.18181818181819
2006,Phoenix Suns,1610612756,20,10,10,0.5,1661,470,0.28296207104154125,0.7170379289584587,0.4822396146899458,0.39148936170212767,0.5180520570948782,0.5792590671335323,23.5,107.2
2006,Sacramento Kings,1610612758,6,2,4,0.3333333333333333,469,94,0.20042643923240938,0.7995735607675906,0.44349680170575695,0.32978723404255317,0.472,0.535661872615204,15.666666666666666,97.33333333333333
2006,San Antonio Spurs,1610612759,13,7,6,0.5384615384615384,963,199,0.2066458982346833,0.7933541017653167,0.49221183800623053,0.39195979899497485,0.518324607329843,0.5873277464146708,15.307692307692308,103.07692307692308
2006,Washington Wizards,1610612764,6,2,4,0.3333333333333333,472,115,0.24364406779661016,0.7563559322033898,0.4491525423728814,0.3217391304347826,0.49019607843137253,0.5446428571428571,19.166666666666668,101.66666666666667
2007,Chicago Bulls,1610612741,10,6,4,0.6,756,166,0.21957671957671956,0.7804232804232805,0.4298941798941799,0.35542168674698793,0.45084745762711864,0.521562429442312,16.6,92.4
2007,Cleveland Cavaliers,1610612739,20,12,8,0.6,1526,331,0.21690694626474444,0.7830930537352556,0.42070773263433814,0.32628398791540786,0.44686192468619246,0.5059137212005197,16.55,88.8
2007,Dallas Mavericks,1610612742,6,2,4,0.3333333333333333,485,133,0.27422680412371137,0.7257731958762886,0.422680412371134,0.3157894736842105,0.4630681818181818,0.5237504431052817,22.166666666666668,98.5
2007,Denver Nuggets,1610612743,5,1,4,0.2,397,72,0.181360201511335,0.818639798488665,0.42317380352644834,0.3194444444444444,0.4461538461538462,0.4975180505415162,14.4,88.2
2007,Detroit Pistons,1610612765,16,10,6,0.625,1216,266,0.21875,0.78125,0.4300986842105263,0.34962406015037595,0.45263157894736844,0.5216807970083641,16.625,91.375
2007,Golden State Warriors,1610612744,11,5,6,0.45454545454545453,893,341,0.3818589025755879,0.6181410974244121,0.4501679731243001,0.35777126099706746,0.5072463768115942,0.5634871834287691,31,106.63636363636364
2007,Houston Rockets,1610612745,7,3,4,0.42857142857142855,507,156,0.3076923076923077,0.6923076923076923,0.41025641025641024,0.32051282051282054,0.45014245014245013,0.5195931696033743,22.285714285714285,87.28571428571429
2007,Los Angeles Lakers,1610612747,5,1,4,0.2,430,99,0.2302325581395349,0.7697674418604651,0.4418604651162791,0.32323232323232326,0.4773413897280967,0.5130675154967331,19.8,98
2007,Miami Heat,1610612748,4,0,4,0,299,68,0.22742474916387959,0.7725752508361204,0.44481605351170567,0.3235294117647059,0.4805194805194805,0.5115863500115286,17,88.75
2007,New Jersey Nets,1610612751,12,6,6,0.5,880,250,0.2840909090909091,0.7159090909090909,0.44431818181818183,0.368,0.4746031746031746,0.539274322169059,20.833333333333332,90.16666666666667
2007,Orlando Magic,1610612753,4,0,4,0,289,29,0.10034602076124567,0.8996539792387543,0.47750865051903113,0.3448275862068966,0.49230769230769234,0.5189291189998821,7.25,88
