season,team,team_id,games,wins,losses,win_pct,total_fga,total_fg3a,total_fg2a,share_3pt,share_2pt,fg_pct,fg3_pct,fg2_pct,ts_pct,avg_3pa,avg_2pa,avg_pts
2006,Atlanta Hawks,1610612737,82,26,56,0.3170731707317073,6496,1154,5342,0.17764778325123154,0.8223522167487685,0.4535098522167488,0.36741767764298094,0.47210782478472485,0.5338097355324973,14.073170731707314,65.14634146341463,97.21951219512195
2006,Boston Celtics,1610612738,82,33,49,0.4024390243902439,6322,1290,5032,0.20404935147105346,0.7959506485289465,0.46678266371401456,0.362015503875969,0.49364069952305245,0.550827235125676,15.73170731707317,61.36585365853658,97.96341463414635
2006,Charlotte Bobcats,1610612766,82,26,56,0.3170731707317073,6843,1261,5582,0.1842759023819962,0.8157240976180038,0.4327049539675581,0.3394131641554322,0.45378000716589034,0.508850918148226,15.378048780487807,68.07317073170732,96.86585365853658
2006,Chicago Bulls,1610612741,82,41,41,0.5,6737,1477,5260,0.21923704913166098,0.780762950868339,0.4458957993172035,0.3791469194312796,0.464638783269962,0.5274594605970685,18.01219512195122,64.14634146341463,97.8048780487805
2006,Cleveland Cavaliers,1610612739,82,50,32,0.6097560975609756,6412,1465,4947,0.22847785402370555,0.7715221459762944,0.4535246412975671,0.3392491467576792,0.48736608045279967,0.5383534806617939,17.865853658536583,60.329268292682926,97.58536585365853
2006,Dallas Mavericks,1610612742,82,60,22,0.7317073170731707,6375,1113,5262,0.17458823529411766,0.8254117647058824,0.4624313725490196,0.37376460017969454,0.4811858608893957,0.5495708885608139,13.573170731707318,64.17073170731707,99.14634146341463
2006,Denver Nuggets,1610612743,82,44,38,0.5365853658536586,6672,1076,5596,0.16127098321342925,0.8387290167865707,0.4613309352517986,0.3252788104089219,0.4874910650464618,0.5349655624453784,13.121951219512194,68.2439024390244,100.32926829268293
2006,Detroit Pistons,1610612765,82,64,18,0.7804878048780488,6558,1451,5107,0.22125648063433973,0.7787435193656602,0.4548642878926502,0.3838731909028256,0.4750342666927746,0.5353964401294495,17.695121951219512,62.28048780487805,96.84146341463415
2006,Golden State Warriors,1610612744,82,34,48,0.4146341463414634,6785,1832,4953,0.27000736919675755,0.7299926308032424,0.4331613854089904,0.3411572052401747,0.4671916010498688,0.5211263970265594,22.341463414634145,60.40243902439025,98.48780487804878
2006,Houston Rockets,1610612745,82,34,48,0.4146341463414634,6252,1414,4838,0.22616762635956494,0.7738323736404351,0.4331413947536788,0.3316831683168317,0.4627945431996693,0.5185169586702603,17.24390243902439,59,90.08536585365853
2006,Indiana Pacers,1610612754,82,41,41,0.5,6274,1536,4738,0.2448198916161938,0.7551801083838062,0.4440548294548932,0.3489583333333333,0.4748839172646686,0.5329119321328105,18.73170731707317,57.78048780487805,93.89024390243902
2006,Los Angeles Clippers,1610612746,82,47,35,0.573170731707317,6443,843,5600,0.13083967096073257,0.8691603290392674,0.4645351544311656,0.34400948991696323,0.4826785714285714,0.5395722417500284,10.28048780487805,68.29268292682927,97.1951219512195
2006,Los Angeles Lakers,1610612747,82,45,37,0.5487804878048781,6607,1583,5024,0.23959436960799152,0.7604056303920085,0.4528530346602089,0.3487049905243209,0.4856687898089172,0.5390946066738248,19.304878048780484,61.26829268292683,99.4390243902439
2006,Memphis Grizzlies,1610612763,82,49,33,0.5975609756097561,6125,1578,4547,0.2576326530612245,0.7423673469387755,0.4483265306122449,0.37389100126742714,0.4741587860127557,0.5368751846884732,19.24390243902439,55.451219512195124,92.17073170731707
2006,Miami Heat,1610612748,82,52,30,0.6341463414634146,6355,1441,4914,0.22675059008654602,0.7732494099134539,0.4782061369000787,0.34489937543372656,0.5172975172975173,0.5555932387334835,17.573170731707314,59.926829268292686,99.89024390243902
2006,Milwaukee Bucks,1610612749,82,40,42,0.4878048780487805,6566,1335,5231,0.20332013402375876,0.7966798659762413,0.4532439841608285,0.3797752808988764,0.4719938826228255,0.5349091588186649,16.28048780487805,63.79268292682927,97.8048780487805
2006,Minnesota Timberwolves,1610612750,82,33,49,0.4024390243902439,6340,942,5398,0.14858044164037854,0.8514195583596215,0.4555205047318612,0.32908704883227174,0.4775842904779548,0.5242688672669995,11.487804878048783,65.82926829268293,91.73170731707317
2006,New Jersey Nets,1610612751,82,49,33,0.5975609756097561,6317,1447,4870,0.2290644293177141,0.7709355706822859,0.4397657115719487,0.32964754664823775,0.4724845995893224,0.5282802694772011,17.646341463414636,59.390243902439025,93.79268292682927
2006,New Orleans/Oklahoma City Hornets,1610612740,82,38,44,0.4634146341463415,6428,885,5543,0.13767890479153702,0.862321095208463,0.44041692594897325,0.3389830508474576,0.45661194299116004,0.5152705864511796,10.792682926829269,67.59756097560975,92.8170731707317
2006,New York Knicks,1610612752,82,23,59,0.2804878048780488,6206,884,5322,0.14244279729294232,0.8575572027070577,0.4547212375120851,0.36199095022624433,0.4701240135287486,0.5338848736703937,10.78048780487805,64.90243902439025,95.63414634146342
2006,Orlando Magic,1610612753,82,36,46,0.43902439024390244,6167,796,5371,0.12907410410248094,0.870925895897519,0.472028538997892,0.3756281407035176,0.4863153975051201,0.5429020990726584,9.707317073170733,65.5,94.92682926829268
2006,Philadelphia 76ers,1610612755,82,38,44,0.4634146341463415,6546,1031,5515,0.15750076382523678,0.8424992361747632,0.4584479071188512,0.36372453928225024,0.4761559383499547,0.5380256762468301,12.573170731707318,67.2560975609756,99.35365853658537
